Vth_T ,6bit_Vth,VinDac,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,#11,#12,#13,#14,#15,#16,#17,#18,#19,#20,#21,#22,#23,#24,#25,#26,#27,#28,#29,#30,#31,#32,#33,#34,#35,#36,#37,#38,#39,#40,#41,#42,#43,#44,#45,#46,#47,#48,#49,#50
28,0,0,466,465,466,466,465,466,466,465,465,466,466,465,466,466,466,465,466,466,465,466,466,465,465,465,465,466,465,465,466,465,465,465,466,466,466,466,465,465,466,466,465,466,466,465,465,466,466,466,466,465
29,0,0,466,465,466,466,466,466,465,466,465,466,465,465,466,466,466,466,466,466,466,466,466,466,465,465,466,466,465,466,465,466,466,466,466,466,465,466,466,465,466,465,466,466,466,465,465,466,466,466,466,465
30,0,0,465,465,465,466,466,466,465,465,466,465,465,466,465,466,465,465,465,466,465,465,466,465,466,465,465,466,465,465,465,466,466,466,466,466,466,466,465,466,465,465,465,466,466,466,466,466,465,465,465,465
31,0,0,465,465,466,465,466,466,466,465,466,466,466,466,465,465,465,466,465,466,466,466,465,466,465,465,466,465,466,465,466,465,466,465,466,465,465,465,465,466,466,466,466,465,465,465,465,466,466,465,466,466
32,0,0,465,465,466,465,466,465,466,466,466,466,465,465,465,465,466,466,465,466,465,465,465,466,466,466,466,466,466,465,466,465,465,465,465,465,466,466,465,466,465,465,466,466,465,465,466,465,466,465,465,465
33,0,0,466,465,466,466,466,465,465,466,466,466,466,465,466,466,466,465,465,466,465,466,466,465,465,466,465,466,466,465,465,465,466,465,466,466,466,465,465,465,465,465,466,466,466,466,466,466,466,466,466,466
34,0,0,466,466,466,465,465,465,465,466,465,466,466,465,466,465,465,466,465,465,465,465,465,466,465,465,465,466,466,465,466,465,465,466,466,466,465,466,465,465,466,466,466,465,465,465,465,465,466,465,465,465
35,0,0,465,465,466,465,465,466,465,465,465,466,465,466,466,466,466,466,466,466,466,465,465,465,465,465,466,466,466,466,466,466,465,465,465,466,466,465,465,466,466,466,465,465,466,466,466,465,465,465,465,465
36,0,0,466,466,465,465,466,465,465,465,466,465,466,466,466,466,466,466,465,465,466,466,466,465,466,465,466,465,465,466,465,465,466,466,466,465,466,466,465,466,466,465,466,465,466,466,465,466,465,466,465,465
37,0,0,465,466,466,465,466,466,465,466,465,465,465,466,465,465,466,466,466,466,465,466,466,466,465,466,466,465,465,466,466,465,466,465,466,465,465,465,466,466,466,465,466,466,465,465,466,465,466,466,466,466
38,0,0,465,465,465,466,465,466,466,465,466,466,465,466,466,466,465,466,465,465,466,465,465,465,466,466,466,466,466,466,465,466,465,466,465,466,466,465,466,465,466,466,466,465,466,465,466,466,465,466,465,466
39,0,0,465,465,466,465,466,466,466,466,466,465,466,465,465,465,466,466,466,465,466,466,465,465,465,465,466,466,466,466,466,465,465,466,466,465,465,466,466,465,466,466,466,465,466,466,466,465,465,466,466,466
40,0,0,466,465,466,466,465,466,466,465,466,465,465,465,465,466,466,465,465,465,465,465,465,466,466,466,466,465,465,466,465,465,466,465,465,465,466,465,466,465,466,465,465,465,465,465,465,465,466,465,466,465
41,0,0,465,466,466,466,466,466,466,465,465,465,466,465,466,466,465,466,466,466,465,465,466,466,466,466,465,465,465,466,465,465,466,465,466,465,465,466,466,466,466,465,466,466,465,465,465,466,466,466,466,466
42,0,0,466,466,465,466,466,466,465,466,466,465,466,466,466,466,466,466,466,465,465,466,465,466,466,465,465,465,466,466,465,465,465,466,465,466,466,466,465,466,466,466,465,466,466,466,466,466,465,466,465,465
43,0,0,465,466,465,466,466,466,465,465,466,466,465,465,465,466,465,466,465,465,465,466,465,466,466,465,466,466,465,466,466,466,466,466,465,465,465,465,466,465,465,465,465,466,466,466,465,466,466,466,466,466
44,0,0,465,465,466,466,465,465,466,465,466,465,466,466,465,465,465,465,466,466,466,466,465,465,465,466,466,465,465,465,465,466,465,465,466,465,465,465,466,465,466,466,465,465,466,465,466,465,465,466,466,466
45,0,0,465,465,466,466,465,465,466,466,466,465,466,466,465,465,465,466,466,466,466,465,466,465,465,465,465,466,466,466,466,466,466,465,466,465,466,465,466,466,465,465,466,466,465,466,466,465,466,466,466,466
