Vth_T ,6bit_Vth,VinDac,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,#11,#12,#13,#14,#15,#16,#17,#18,#19,#20,#21,#22,#23,#24,#25,#26,#27,#28,#29,#30,#31,#32,#33,#34,#35,#36,#37,#38,#39,#40,#41,#42,#43,#44,#45,#46,#47,#48,#49,#50
0,0,0,12040,0,8030,8028,12035,24083,8027,20056,12044,16044,0,0,4015,4013,8027,8024,0,12032,7045,8026,8029,8031,4014,0,12041,4015,4010,8024,12032,8025,0,8028,4010,4011,0,0,8033,0,8023,16048,8023,8029,4008,8022,4014,0,8023,0,8030,4014
1,0,0,4015,8036,2842,8033,0,4012,0,8028,4007,16062,4016,0,4013,16045,4012,8021,12039,4013,8028,12039,8036,12045,8026,0,4014,8031,0,4010,4016,8034,0,8026,12039,4009,20066,8025,8023,8019,12040,4011,8022,24071,12148,0,0,0,4013,8030,4008,12041
2,0,0,8027,8028,16051,8027,4013,4010,16049,0,0,4015,0,0,0,4007,16050,0,8033,4015,8029,12050,20065,4011,8027,12036,12030,8023,4013,8025,4010,4016,16054,20064,8028,4013,4009,4009,0,4018,20070,4014,0,8022,16057,4018,8031,11275,8021,4010,4015,16053
3,0,0,8025,12035,16053,12041,16061,16054,8027,8028,4165,16053,8025,0,8025,8030,8021,12037,20062,12035,4016,4015,8024,0,0,8029,16058,4014,20070,12036,0,8023,0,12046,4012,4010,8025,8028,8026,4012,16058,12041,4016,4016,12042,0,8027,4016,8029,4018,8027,8031
4,0,0,16060,8026,16051,0,16058,4015,24072,4015,4011,8025,16056,4016,16055,12038,4011,4011,12034,8030,4013,4011,24090,8022,0,7684,0,12052,6059,8020,8029,4008,16060,4011,4014,28098,4008,8026,0,12038,4015,8940,4019,4018,4013,8029,0,16053,8027,20071,12051,4015
5,0,0,24067,4012,8019,8028,4010,8031,12036,0,16050,0,16047,24092,12037,4014,12039,0,4010,20074,12048,8027,8027,4016,8028,4012,8026,8021,16046,16057,8028,4018,12039,8026,0,4014,12041,4013,12034,24086,8021,3991,4012,12040,12041,12042,12044,4012,8031,0,24082,4014
6,0,0,0,16057,4013,4013,12038,0,4011,12034,12047,12036,4010,24084,12046,8026,4011,4014,12041,4015,8027,16059,8019,0,4009,8023,16053,8939,8029,0,8023,12036,4013,8030,4014,0,12038,16054,12039,20073,20069,12036,24073,8030,8022,0,12051,4010,16042,8025,8029,20062
7,0,0,12030,4009,8028,4014,4016,8029,36121,4015,4014,12043,12038,0,0,24070,4015,4011,16046,10173,32104,4015,4016,12037,4013,12041,4018,8019,32103,12041,16057,24084,16052,4018,16050,12040,16057,4020,4014,8024,8033,16054,4012,20069,0,4015,1365,8026,12037,8023,8030,4012
8,0,0,16053,4015,12044,16055,4016,24078,0,20069,4016,20067,4010,16042,16049,16054,28087,0,12038,4014,20072,20079,24084,16053,16061,20067,12039,8030,12043,0,0,16046,12035,4010,28107,5327,28096,8023,4016,24080,8027,16050,0,20068,8029,4016,20067,8026,8034,12041,7051,0
9,0,0,8032,4014,8025,16054,24071,16057,12043,4016,4016,4014,24082,8027,16053,2525,16053,24080,20064,24070,8027,8033,4018,15286,4018,12048,16052,8030,8028,16054,28106,16057,8028,8031,8559,4015,16056,32107,4015,20070,8024,20065,8025,16054,8031,4012,12041,12048,4011,12038,12044,24077
10,0,0,4015,20063,0,16059,4019,17886,20070,4009,16053,12038,28095,16055,20408,12038,20065,24069,28097,12041,12032,12042,16055,32101,8024,24074,20066,16042,12033,20060,4014,20076,9681,8029,4014,12045,15433,8028,4014,16053,8026,20062,12038,20066,20069,8028,8031,16060,8022,8036,40147,4012
11,0,0,20077,16059,36119,16062,8033,24081,16057,8030,16046,12039,8029,16054,12041,11783,12042,8028,16053,4015,12045,16051,24079,16048,12042,4015,8029,20071,4015,4014,8033,8028,12043,28100,32116,20067,28097,5788,24090,8021,8027,24091,0,0,8029,16064,16056,16052,24074,20068,8026,20068
12,0,0,24076,20065,16061,4013,28102,20070,20080,8027,16054,4013,32119,8029,20070,16056,12044,20061,8025,20059,24083,4015,16065,20082,16054,24079,20055,0,24076,25562,8031,8026,15060,28101,20063,28081,42429,8026,12048,8031,24088,12033,12032,12046,16057,20072,16058,20066,32088,21675,20066,32105
13,0,0,16058,16055,16051,12035,24084,28105,16050,4015,32103,28080,12043,20064,12042,40142,12040,20066,16051,12037,24093,16058,4015,16055,20068,0,22777,24072,20063,8026,12039,24087,12040,28088,4010,20070,20064,8024,8028,8025,20069,20062,12036,16057,12045,24086,10173,12038,4014,44146,28104,20077
14,0,0,28097,16056,16056,24074,24082,36128,20069,16064,28093,20070,20075,20065,16061,20057,44151,20066,20076,32112,12038,8027,20074,16065,20070,24729,16051,24093,12043,32095,16050,24089,4014,28096,12041,28088,42545,32112,12048,8029,8032,8026,16052,20070,12036,16058,24089,16047,24089,8029,24081,28088
15,0,0,24090,12037,28082,24079,12039,16054,20070,16052,24083,8036,32104,32109,28088,16054,12035,8025,8023,16052,20064,20432,28082,4016,28085,20059,20069,32109,8027,16057,8031,41280,24079,8024,12038,16057,28086,4014,24082,36119,20070,16055,24068,16068,28103,28102,16051,16055,24088,32112,4013,12047
16,0,0,24075,12032,24081,24084,16055,12044,32761,8027,8035,20061,20068,28099,24089,8026,16052,16055,8034,16059,20063,24090,12044,16047,20061,20069,20071,16057,12040,16059,24073,16053,16054,28084,24077,20066,20059,24092,24070,8027,16054,28090,20073,4013,8022,16060,12041,12039,47421,28096,16058,16042
17,0,0,20071,32111,28108,12045,32111,20064,16045,8023,20068,16054,48150,8028,12039,28106,8026,4012,28090,20062,12043,4016,32099,20066,24072,20065,8022,24087,28094,24084,32124,16047,16058,20064,20082,16064,8033,28097,16059,24080,20075,28090,20072,12034,44157,44152,24076,16045,27267,8027,24087,4015
18,0,0,16055,32113,24088,28103,24082,32110,16060,32113,32106,20070,24090,32125,10364,12040,8028,44149,28100,32104,24082,20071,36121,24071,12037,12052,36115,16047,36130,40129,16056,20070,16055,28088,32120,32106,20066,36118,36121,20072,24074,36104,16058,12040,12048,20068,8023,12045,16063,16061,12045,12045
19,0,0,28095,24078,24079,20074,16754,20073,12046,28105,8023,17638,20070,24074,36114,28099,20068,24072,16056,36105,8019,24085,20057,16055,20063,40132,8032,16056,16048,24075,28108,8026,28092,16051,20070,24082,16060,20073,20079,28093,24082,20054,32119,16049,20078,12041,20064,36118,20082,36131,20073,8030
