Vth_T ,6bit_Vth,VinDac,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,#11,#12,#13,#14,#15,#16,#17,#18,#19,#20,#21,#22,#23,#24,#25,#26,#27,#28,#29,#30,#31,#32,#33,#34,#35,#36,#37,#38,#39,#40,#41,#42,#43,#44,#45,#46,#47,#48,#49,#50
0,0,0,975059,974930,974676,975118,975083,975225,975488,975259,975055,974976,974958,975125,975174,974847,975141,975274,975259,975083,974958,975167,975330,975038,975264,975293,975021,975146,975396,975396,975329,975081,975169,975241,974865,974898,974841,974779,974955,974595,975342,975141,975050,975155,975021,975093,975093,975401,975368,975199,974975,975304
1,0,0,975280,975465,975091,974953,975228,975227,975123,974896,975050,975140,974757,975045,974842,974649,975321,975391,974977,974813,974680,975105,974649,974811,974557,975219,974876,975033,974631,974752,974960,974733,975158,975144,975071,975218,975082,975191,974987,975268,975300,975197,975029,974999,974919,974902,974870,975111,975069,975230,974986,975248
2,0,0,975026,974889,975187,975085,974774,974707,974792,974893,974741,974778,974947,975158,974985,974924,975035,974779,975022,974928,974739,974715,974741,975005,974896,974606,974933,974796,975200,974999,974845,975064,975075,975101,975080,974941,975247,975277,975027,974909,974974,975128,975192,974893,975213,975181,975295,975260,974982,975043,975093,975247
3,0,0,975244,975368,975458,975212,975283,975549,975344,975592,975212,975173,975064,975317,975082,975315,975290,975108,975085,975153,975317,974939,975254,975183,975107,975570,975383,975622,975125,975382,975334,975153,975657,975546,975232,975593,975263,975298,975489,975680,975300,975104,975243,975290,975076,974734,975040,975114,975630,975210,975533,975901
4,0,0,975689,975576,975499,975421,975421,975532,975778,975766,975583,975445,975390,975265,975238,975371,975515,975168,975195,974489,975109,974936,975250,974951,975305,975043,974971,974990,975150,975332,975348,975034,975317,975362,974966,975270,975460,975334,975178,975374,975467,975111,975534,975458,975407,975430,975336,975362,975269,975679,975308,975286
5,0,0,975471,975430,975503,975511,975281,975146,975154,975208,975209,975649,975344,975561,975804,975700,975275,975864,975397,975239,975675,975539,975197,975320,975327,975128,975317,975319,975293,975225,975950,975190,975382,975713,975735,975506,975417,975412,975369,975686,975519,975457,975512,975237,975382,974803,974986,974971,975081,975402,974983,975360
6,0,0,975597,975588,975549,975467,975154,975206,975390,975184,975604,974899,975117,975336,975126,975270,975360,975312,975470,975631,975559,975827,975682,975616,975493,975673,975495,975631,975449,975411,975750,975722,975483,975661,975533,975719,975567,975532,975538,975643,975837,975165,975564,975423,975756,975423,975675,975440,975290,975323,975231,975181
7,0,0,974969,974880,974908,974988,975161,974897,974865,975007,975207,975013,975029,975274,975202,975362,974726,974959,974881,975330,975345,974875,975263,975342,974841,974962,975141,974936,975069,974936,975145,975130,975095,974841,974922,975126,975121,975462,975219,975388,975358,975141,975298,975254,975305,975115,975140,975337,975053,975607,975542,975565
8,0,0,975516,975486,975305,975037,975542,975866,975622,975710,975552,975576,975666,975464,974886,975284,974705,974990,974752,975303,974865,974818,975174,974867,975261,975147,975120,975061,975678,975125,974812,975370,975574,975584,975087,975130,975691,975151,975307,975103,975249,975285,975481,975015,975130,975474,975149,975019,974971,974953,974953,975143
9,0,0,975497,974828,974958,974918,975052,975305,975202,975058,975300,975670,975143,975024,974722,975223,974670,974999,975264,975248,975285,975376,975121,975047,975328,975014,975354,975199,975183,974999,975692,975320,975139,975397,975821,975523,975354,975144,975204,975532,975217,975139,975555,975161,975092,975111,974923,974720,974983,974737,974837,975287
10,0,0,974878,975136,975590,974946,974990,974994,975573,975084,975105,975187,975513,974848,974834,974939,974923,975240,975168,975724,975224,974656,974436,975226,975198,975141,975056,975145,974869,974699,974882,974703,975210,975364,974890,975216,975189,975164,975014,975271,974737,974984,975105,974950,974777,975013,975690,975333,975055,975049,974363,975201
11,0,0,974918,974850,975140,975159,974985,974998,974733,975087,974809,975186,974659,974927,974930,975489,975348,974630,974710,974851,974940,975093,975424,975211,974998,974621,975250,975242,975507,975201,975374,975159,975234,975218,975239,975355,975258,974817,975480,974934,974988,975042,975044,975325,975349,975040,974683,974917,974847,975142,974836,974836
12,0,0,975218,975233,975042,974854,975061,975075,974806,974965,974947,974959,974602,975874,974701,975297,975480,975045,974604,975092,974824,975062,974849,975239,974864,974538,974967,975212,974492,974829,974461,975050,975548,974760,975003,975386,975180,975481,975097,975153,975230,975306,974909,975088,975006,975233,974832,974975,974916,974828,975434,975517
13,0,0,975343,975349,975052,975004,974663,974551,975384,975164,975461,975275,975126,974945,975523,975439,975461,974969,974914,975330,974898,974908,974916,975402,975359,975222,975470,975332,975037,975266,975255,974761,975219,975118,975219,974924,975256,974922,975158,975003,975042,975108,974993,975010,975201,975385,975175,975191,975882,975271,975277,975205
14,0,0,975527,975126,975242,974992,975482,975351,975142,975645,974921,974741,975071,975250,975135,975383,975864,975593,975250,974983,975025,975644,975373,975574,975164,975228,975052,975605,975460,975060,975693,975600,975355,975664,975584,975358,975396,975541,975756,975566,975233,975193,975651,975560,975163,975385,975280,974919,975018,975010,975055,975108
15,0,0,975187,975786,975693,975311,975579,975343,975448,975352,975146,974960,975734,974985,975458,975184,975488,975117,974999,975284,975413,974961,974951,975456,975141,975130,975304,975577,975460,975248,975327,974953,974663,974949,975120,975769,975403,975926,975813,975666,975633,975342,975590,975598,975378,975687,975785,975049,975306,975186,975359,975164
16,0,0,975285,975451,975246,975059,975766,975606,975093,975465,975471,975308,975731,975292,974850,975272,975394,975309,975519,975109,975269,975478,975505,975652,975788,975468,975309,975534,975723,975212,974988,975837,975830,975491,975352,974791,975149,975221,975292,975285,975151,975256,975638,975395,975740,974910,975788,975234,975348,975904,975220,975075
17,0,0,975523,975338,975648,975589,975313,975549,975041,975958,974803,975252,974943,974985,975383,975706,974858,975107,974587,975208,975776,975479,975242,974334,975022,975325,975260,975400,975120,975450,975168,975122,975330,975870,975326,975434,975014,975121,975460,975303,974947,975191,975199,975746,975309,974775,975276,974979,975209,975717,976203,975184
18,0,0,975575,975678,976085,976190,976206,975461,975850,975728,975440,975776,975334,975403,975303,975180,975522,975398,975292,975708,975818,975617,975106,975253,975468,975341,975997,976239,975863,975139,975676,975744,975551,975192,975644,974900,975104,975485,974567,974780,975195,975258,975161,975496,975831,975088,975315,975561,975418,975027,975422,975159
19,0,0,975895,975099,975658,975853,975661,975236,975636,975874,975788,975695,975033,975175,975696,975354,975398,975721,975356,975329,975059,975536,975201,975526,975093,975935,975870,975187,974891,975646,975764,975573,975395,975565,976593,975821,975930,976439,976085,975839,975563,975853,975728,975360,975811,975534,975628,975656,975516,975365,975753,975496
20,0,0,975451,975542,975539,976092,975669,976944,975643,975735,975485,975797,975453,976415,975351,975460,976008,975673,975712,975714,975892,975693,975843,975511,975710,975867,975374,975587,975731,975719,975567,976219,975530,975545,976432,976033,976275,975580,975952,975770,975240,975372,975662,976180,975865,975893,975414,975958,975109,975548,976051,975966
21,0,0,975912,975158,975369,975046,975089,975706,975225,976130,976439,975387,975895,975889,975559,974864,975858,975905,976734,976174,976075,976110,975851,975710,975785,976345,975845,976030,974828,975728,975503,975648,975432,976334,975617,976220,975454,975758,975527,975493,976231,975435,975648,976094,975782,975266,975558,975009,975513,976370,976142,976368
22,0,0,975136,975921,976402,975362,975898,975086,976072,975855,976792,975525,976457,976253,975850,976376,975885,975744,975635,976104,975596,976066,976060,975906,976140,976117,976662,976791,976455,976155,975677,976025,975027,976149,977281,976872,976002,975734,975618,976359,976228,975684,975815,976382,976797,975712,976734,976123,976041,976218,975756,977104
23,0,0,977192,976622,976292,975438,976596,975681,976015,977921,976078,975921,976639,975710,975802,976295,976329,975697,976465,975672,975949,976024,977121,976498,975835,976436,976507,976994,976487,976312,976375,976154,975981,975714,976104,976107,975525,976298,976003,977151,977117,976064,976352,975933,976219,976907,976250,976240,976191,976465,975811,976213
24,0,0,976520,976339,976142,975594,977192,976105,976843,976318,976316,975775,977112,975975,976332,976331,976984,976342,975635,977055,975926,976232,976818,975612,976160,975694,975669,975702,976377,976519,975874,976109,977069,976151,975701,976058,976438,976826,975709,976575,976268,977153,977041,975564,975606,976202,975894,976167,976137,975457,977412,975862
25,0,0,978219,976559,977358,976838,975910,976682,975457,976401,976423,976511,976353,977172,976952,975733,975360,976049,975818,975626,976059,975803,975804,975601,976078,976014,976821,976764,975686,976936,975805,975551,976272,976317,976221,975841,976288,977093,976045,976834,976893,975887,974944,975776,976255,976008,976589,977452,977244,976662,976886,977020
26,0,0,975130,976226,975199,976852,975947,975226,976576,975888,976198,977046,976392,976716,975743,977497,976632,976498,976164,976234,976712,975491,977239,978706,977467,975925,976626,976842,975788,976024,976595,975909,975946,976107,976136,976537,977139,977336,976862,976296,976337,975651,975841,975700,976562,975373,975770,977691,975346,975802,975522,975814
27,0,0,976337,977089,976512,975623,976143,975469,977764,976297,977116,976399,977387,977061,976393,977921,976211,977322,977888,976195,976433,977068,975943,976055,975556,976833,976080,975983,976153,977410,976543,977260,975670,976481,976630,977984,976846,976593,975954,976267,977084,975848,976277,977515,975592,975288,976141,976382,975749,976984,976655,976455
28,0,0,976415,976797,977234,976367,976375,976340,977254,976680,976478,975474,977193,975997,976895,977128,976964,977043,976763,976419,975643,977074,977009,975907,978833,976265,977508,977123,978145,976967,977607,975900,978554,976212,977810,978435,976569,977713,976423,976974,976755,978289,977426,975775,975810,976671,976381,977239,976972,975904,977337,976254
29,0,0,976669,978354,977002,977216,977509,978052,976817,976831,978540,977389,978879,977379,976599,976540,976649,977689,977147,976225,977467,976045,977628,976745,976486,976941,976964,978123,976659,978020,975999,977734,977244,977281,978643,976687,976097,977602,977770,976608,976178,977117,977783,977025,977586,977164,976353,977189,978024,977191,977316,976917
30,0,0,978968,977747,977042,976184,976307,977389,975940,976225,976145,978008,978172,976974,977285,977648,975617,976137,976724,977742,976649,977282,976233,975852,977145,978538,976351,978195,976744,978593,978620,979859,978197,978072,976897,977881,976354,976979,976575,975905,977546,976935,976888,977639,977404,976188,976536,977534,976356,977322,977195,977260
31,0,0,978139,976299,977468,976966,976745,977520,976810,978108,976670,977743,977953,979139,977121,976114,977754,977977,976984,977171,977707,977638,978506,976754,977991,977019,978064,977565,976637,975807,977522,978152,976766,977943,976353,976164,977396,977344,977813,977476,976877,978437,977529,977069,977519,979282,977080,976430,977809,977029,977665,976725
32,0,0,976280,979626,978410,977314,977327,976117,978780,978271,978269,977155,977382,978341,979047,979637,975981,977418,977959,976328,978066,978464,978327,977330,977892,979036,977342,978007,977686,977410,977534,977281,977827,977499,977273,976872,978725,977324,978349,979484,979014,976924,977283,977739,978085,976528,979136,977743,977876,977853,976290,976142
33,0,0,976964,979255,978029,978504,978567,978125,977703,977083,978241,977617,977263,978358,977459,977221,977588,977346,977215,978745,978156,977655,977320,977586,977682,977217,978320,977808,977677,978684,978370,979961,980122,978159,978726,978945,979825,976725,977466,978921,977866,978636,978044,977655,977920,977732,979382,978048,977433,978134,977232,980359
34,0,0,976764,977284,978481,978359,977925,978165,978418,978392,977275,977562,979226,977210,978912,977833,980986,978515,979101,978676,978292,977650,978889,979670,977331,978374,977771,978240,978446,979123,980014,978180,979139,978567,976636,978434,979286,978693,977727,978113,979947,979428,978218,978215,978858,979120,978272,977855,979645,979041,978290,979443
35,0,0,978070,977476,979327,977439,977692,977905,980907,978222,977717,978128,980606,979436,978878,979782,978587,979966,978028,979958,978827,978308,979481,978369,978473,979749,977982,979260,979328,979167,978456,976695,978038,977721,977994,976968,979868,978135,980214,979049,977931,977779,978715,978630,977673,979316,979818,978099,980465,980143,977139,978941
