Vth_T ,6bit_Vth,VinDac,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,#11,#12,#13,#14,#15,#16,#17,#18,#19,#20,#21,#22,#23,#24,#25,#26,#27,#28,#29,#30,#31,#32,#33,#34,#35,#36,#37,#38,#39,#40,#41,#42,#43,#44,#45,#46,#47,#48,#49,#50
315,0,0,0,0,0,0,0,0,0,4111,4112,0,0,0,0,0,0,4110,0,4114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4109,0,4112,0,4112,0,0,0,0,0,0,0,0
316,0,0,0,0,4109,4112,4114,0,0,0,0,4114,0,0,4110,4110,0,0,0,0,0,0,0,0,4112,0,0,0,0,0,0,0,4113,0,0,0,0,0,4110,0,0,8217,0,0,0,0,0,4115,0,0,0,0
317,0,0,0,0,0,0,4110,4115,0,0,0,0,0,4113,0,4114,4112,0,0,0,4113,0,0,0,4114,4109,0,4113,0,0,4114,0,6130,0,4113,0,4112,4111,0,4116,0,0,0,4112,0,0,4112,4110,0,0,0,0
318,0,0,4110,0,0,8222,4110,0,8226,0,0,4112,8224,0,4111,4111,0,0,4113,12341,0,0,4109,4114,16447,4113,0,4114,0,4111,8222,0,0,8228,0,8226,0,0,8224,4111,0,4111,0,4111,4114,0,8230,8220,0,0,0,8220
319,0,0,8226,12335,0,16441,8232,0,4110,4113,4113,8229,4112,4118,0,16460,8228,4110,4116,4111,0,8226,4112,4114,8216,4113,0,8225,8232,16457,8225,0,4112,4109,0,0,0,12331,8226,4112,8226,8224,8226,4110,0,0,8225,0,0,0,4112,0
320,0,0,12338,4112,12332,16450,16453,15029,8226,8220,12338,16459,4111,8233,16457,28802,12336,8225,32911,4114,16447,20576,12342,16463,24669,16446,16443,8230,12337,8224,0,8232,8229,4118,12338,20562,16454,8234,20575,16447,4112,8223,0,28798,12346,8228,20582,20572,4116,12338,4118,16458
321,0,0,20583,12342,37019,16452,16450,20569,12347,16456,32902,12344,45240,20573,12341,16448,4112,12344,16454,28801,16446,20570,24662,12344,34026,37040,16459,28798,20566,20580,16462,12346,12346,28788,12344,12339,13518,12336,8231,4111,24691,8229,41131,8230,20583,24688,20566,16456,12347,12346,20562,45246
322,0,0,29350,16453,32914,28803,8220,20556,28795,37037,32915,20576,12340,57591,41131,61710,28787,41148,24690,53479,24674,41150,53472,24673,20563,36956,16461,16453,20560,20563,24676,24688,8228,45254,24690,32895,32908,16455,37015,32903,28786,32903,24681,41144,32918,28804,41132,20560,24683,8223,28804,20569
323,0,0,58574,24686,32905,16463,32923,42988,49347,49373,65811,65818,45277,41121,49374,45265,32925,28789,41132,45234,32912,53485,45259,32935,49370,41129,41132,37039,53496,32907,61715,49374,23091,49392,37036,28793,49366,57589,28795,41134,46643,57587,45268,53492,28796,37032,32905,37018,32913,49348,53050,41160
324,0,0,37027,65835,53457,45266,82271,61707,45246,37034,65834,61690,28812,61706,49698,45247,49351,78165,32910,69968,86365,41137,41117,45254,45247,69658,41152,48104,78180,82293,57599,78168,45246,53487,90521,61704,49361,69936,111064,57611,57606,86396,74063,82279,65822,82284,57592,49362,61715,41129,32911,53481
