Vth_T ,6bit_Vth,VinDac,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,#11,#12,#13,#14,#15,#16,#17,#18,#19,#20,#21,#22,#23,#24,#25,#26,#27,#28,#29,#30,#31,#32,#33,#34,#35,#36,#37,#38,#39,#40,#41,#42,#43,#44,#45,#46,#47,#48,#49,#50
167,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
168,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
170,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
171,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
172,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
174,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
175,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
176,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0
177,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0
178,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0
179,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,2,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,1,1,0,1,1,0,1,1,0,0,1
180,0,0,2,1,0,1,3,0,2,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,2,0,1,0,0,0,0,2,0,2,0,0,0,0,0,1
181,0,0,2,0,0,0,2,0,2,0,2,0,0,0,1,0,1,3,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,3,3,1,1,0,0
182,0,0,0,2,0,0,0,0,1,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,1,2,0,1,3,0,1,0,0,1,1,0,0,2,0,0,0,0,2,0,1,1,1,3,1,1,0,0
183,0,0,0,1,1,0,0,0,1,1,0,2,0,1,0,0,2,1,1,1,1,1,0,2,0,1,1,1,1,1,1,1,2,2,0,0,1,1,1,2,0,0,1,0,0,0,0,2,0,0,2,2
184,0,0,2,0,1,2,3,1,1,1,0,0,3,4,1,0,1,2,0,1,1,1,0,1,2,1,1,1,0,2,0,2,3,0,0,2,2,1,3,1,0,1,2,0,0,0,1,0,0,1,1,0
185,0,0,0,0,1,0,0,1,0,0,1,1,4,1,1,1,0,2,0,0,1,0,2,1,2,0,3,1,0,0,0,1,2,1,0,2,0,0,0,0,1,1,2,2,1,2,2,0,1,1,0,1
186,0,0,1,0,1,1,0,0,3,1,0,3,1,4,1,3,1,1,1,2,0,1,2,2,4,1,0,2,1,1,1,1,0,3,2,0,0,1,3,1,0,1,1,2,0,2,2,1,3,1,1,3
187,0,0,2,2,0,2,1,1,1,2,2,1,1,0,2,0,2,3,1,0,2,1,2,3,2,1,2,1,1,2,3,3,0,3,1,3,1,1,3,3,3,2,0,1,0,0,0,3,0,0,2,3
188,0,0,1,2,5,3,3,2,2,1,4,1,2,0,0,1,0,2,3,0,1,3,0,5,1,2,1,2,0,3,3,3,1,0,2,0,0,4,2,2,5,3,1,5,0,6,6,2,3,0,2,1
189,0,0,2,3,2,0,1,1,1,4,1,4,5,2,0,3,1,3,0,3,2,2,3,2,0,2,1,1,0,4,3,1,2,3,3,1,3,3,1,3,2,4,3,3,1,1,4,1,3,2,1,1
190,0,0,3,1,2,1,2,3,4,2,3,3,3,2,1,2,0,6,3,2,3,0,2,1,2,2,2,6,2,1,0,2,0,2,7,3,0,2,2,1,1,5,4,3,4,3,4,2,6,2,1,3
191,0,0,3,4,3,5,1,2,3,5,0,4,1,2,1,5,2,1,5,2,6,2,2,0,5,4,3,4,3,1,4,1,1,5,3,5,3,1,2,3,3,5,3,5,3,2,2,2,0,0,1,1
192,0,0,3,3,2,4,5,6,2,1,3,1,3,2,1,3,2,3,2,6,3,2,3,1,1,6,3,3,4,7,3,6,0,4,3,5,1,2,3,6,7,3,2,5,2,2,8,5,3,3,2,3
193,0,0,3,3,5,2,3,3,8,3,6,4,4,5,2,3,4,3,4,2,3,3,4,4,1,2,5,1,8,2,0,6,3,7,5,3,2,2,3,2,7,8,3,7,2,6,2,2,3,3,3,9
194,0,0,1,5,2,8,5,5,3,2,4,7,3,9,4,7,5,5,5,3,5,1,3,4,4,5,2,3,5,6,5,5,1,3,4,5,4,3,3,5,4,7,5,5,3,8,4,3,3,2,4,5
195,0,0,2,5,3,11,3,6,5,3,5,5,4,7,5,1,6,8,1,8,6,3,4,5,3,8,6,5,4,3,3,4,0,2,5,3,1,1,3,5,2,4,6,3,3,3,6,5,5,4,7,8
196,0,0,4,5,5,3,2,3,3,3,4,6,4,6,3,3,3,5,2,7,6,5,4,9,5,3,4,6,4,4,10,3,5,4,2,4,4,5,7,5,5,3,5,7,6,4,6,8,4,5,7,5
197,0,0,3,3,4,5,3,8,6,5,5,6,3,5,5,6,7,3,6,8,6,6,3,7,4,5,5,5,4,5,10,5,4,7,8,5,5,4,5,4,9,8,5,7,2,5,12,1,6,2,10,6
198,0,0,4,7,9,3,2,6,4,4,4,4,4,6,5,7,6,9,5,6,6,4,10,5,6,4,2,6,7,5,2,6,3,4,2,8,12,1,10,5,6,4,3,7,4,4,7,6,6,8,6,7
199,0,0,9,5,8,5,5,4,7,10,4,2,5,5,1,4,6,6,10,11,7,7,2,10,6,3,9,4,4,6,4,5,7,6,6,9,4,7,8,7,7,11,9,7,7,9,8,11,7,3,6,10
200,0,0,8,9,7,7,9,3,3,10,13,7,8,5,5,8,7,9,4,4,9,7,5,10,10,9,8,11,4,9,9,8,7,3,8,9,8,8,6,3,10,5,6,7,10,7,6,6,11,6,5,7
201,0,0,13,7,15,13,9,11,6,7,12,6,9,8,6,4,11,6,5,9,8,10,7,12,8,8,7,8,6,8,8,12,9,11,11,11,6,8,7,14,10,10,9,10,11,8,8,5,9,10,9,8
202,0,0,8,11,10,12,15,15,6,9,6,12,7,5,12,9,15,6,1,10,12,7,11,12,8,10,7,9,10,5,8,5,7,9,10,10,13,9,11,12,11,9,8,9,6,11,5,8,10,8,10,10
203,0,0,11,9,12,11,8,9,17,7,11,14,7,14,12,11,11,6,5,9,13,4,10,13,6,8,10,9,14,5,13,10,10,12,9,8,9,10,13,8,11,7,8,16,6,10,7,17,10,13,12,13
204,0,0,11,18,17,10,6,24,20,16,15,12,7,13,8,9,11,20,16,12,13,21,16,13,16,7,15,10,10,8,13,14,9,11,15,12,15,20,12,10,7,11,17,12,16,12,15,13,11,18,13,18
205,0,0,16,16,19,6,10,28,23,22,16,15,17,14,15,13,14,9,19,13,19,13,11,10,13,17,16,17,17,15,11,17,13,16,9,19,19,16,13,12,13,13,14,12,22,7,14,14,17,16,19,17
206,0,0,15,20,20,25,14,22,20,23,28,18,14,22,14,15,26,18,21,24,25,25,21,21,21,17,23,26,14,17,21,18,17,18,25,13,24,18,21,16,18,20,15,22,25,22,23,29,13,17,20,22
207,0,0,23,20,15,24,27,31,22,26,21,19,20,26,20,28,29,28,17,25,24,23,26,27,24,29,28,31,26,18,26,29,24,26,23,23,31,30,22,24,29,27,26,22,19,21,29,17,22,27,28,31
208,0,0,27,43,35,30,36,29,35,30,31,28,30,40,26,32,28,23,31,27,24,27,26,24,22,35,38,39,30,30,19,32,27,30,30,27,33,29,31,41,28,28,32,25,30,32,29,27,24,30,33,31
209,0,0,31,28,44,28,34,43,42,45,38,39,31,29,41,35,39,28,45,39,34,31,37,38,36,39,34,32,32,36,50,27,33,41,36,31,42,34,41,30,37,36,39,25,39,41,34,46,41,28,37,29
210,0,0,52,52,49,54,47,43,60,40,44,40,53,46,53,50,40,39,47,36,43,42,46,49,56,36,53,42,46,43,45,38,45,44,53,46,48,55,40,45,48,54,45,48,46,40,46,44,40,45,43,37
211,0,0,49,44,49,48,44,67,49,60,65,56,39,49,60,56,52,62,62,58,57,57,58,63,50,53,54,62,55,61,53,62,56,61,50,49,53,61,56,54,54,48,72,67,59,57,57,47,66,57,48,65
212,0,0,56,60,66,74,59,55,71,61,65,64,62,57,52,64,51,61,70,64,74,63,75,50,62,53,46,49,69,61,58,56,52,50,67,66,65,61,59,60,68,68,67,57,60,68,55,67,54,66,50,61
213,0,0,65,73,67,71,70,80,81,69,76,73,67,60,78,76,73,75,72,78,76,75,75,57,70,71,63,72,76,62,72,78,59,79,72,74,73,72,75,75,75,68,68,60,66,66,67,69,79,66,68,74
214,0,0,85,88,94,79,77,79,91,87,79,85,76,91,83,74,85,88,93,95,81,91,85,93,89,87,83,90,96,96,92,90,83,96,92,86,94,82,98,74,88,83,86,84,77,89,77,86,85,81,76,84
215,0,0,100,103,114,93,102,104,89,102,92,94,93,97,107,98,97,98,108,99,89,97,115,93,89,100,111,103,97,101,89,100,88,93,91,98,111,101,99,95,101,94,96,100,113,93,87,96,100,92,93,103
216,0,0,105,110,114,102,116,107,104,113,103,109,113,107,108,106,116,121,115,101,119,107,106,105,110,106,97,108,124,101,110,111,106,103,107,110,110,109,104,109,101,104,106,107,105,112,113,122,105,104,104,113
217,0,0,122,121,119,114,122,116,120,121,120,137,125,125,131,127,106,114,122,123,129,117,121,115,107,127,125,126,128,125,124,123,112,116,134,129,121,130,121,115,122,132,128,122,129,125,117,127,125,123,125,133
218,0,0,131,130,137,142,133,127,124,129,146,141,138,138,143,128,136,132,137,145,138,133,141,134,127,144,137,142,134,134,131,133,132,146,130,133,135,135,131,143,137,136,132,140,141,133,139,137,136,131,145,130
219,0,0,274,286,274,281,275,283,274,299,281,264,287,277,292,291,299,297,276,280,287,279,272,291,289,292,272,287,287,275,294,275,276,272,296,285,271,283,296,289,288,273,290,292,256,272,288,269,276,282,298,269
220,0,0,283,286,306,312,303,301,294,313,296,304,291,317,305,309,311,296,294,291,294,293,297,291,283,292,297,306,293,302,313,320,289,295,310,316,308,303,299,300,305,312,308,297,302,306,294,301,306,286,292,303
221,0,0,321,333,328,339,346,326,344,335,324,347,330,360,333,338,324,340,328,338,331,339,328,322,322,326,338,345,328,332,335,342,325,328,329,343,341,337,343,330,318,353,328,324,331,337,327,345,323,344,329,345
222,0,0,346,354,367,348,338,341,360,355,351,358,359,359,352,378,363,371,354,363,359,362,371,345,354,368,359,365,363,365,353,349,358,350,362,365,356,358,341,353,355,358,351,365,347,357,360,358,358,361,353,349
223,0,0,380,374,375,378,375,381,371,369,385,394,370,390,359,375,383,367,396,381,375,373,376,364,380,384,376,386,381,369,381,379,380,400,374,381,367,380,376,387,375,389,377,391,380,381,392,376,391,386,385,392
224,0,0,403,414,429,416,409,408,412,388,411,418,415,410,418,416,422,411,428,418,409,399,417,403,407,434,412,423,422,412,420,405,425,406,418,420,422,412,413,418,412,410,406,406,393,413,420,408,415,415,408,423
225,0,0,422,416,422,415,427,434,416,428,432,427,439,439,435,432,430,434,434,433,436,422,431,436,427,431,430,437,422,423,420,425,432,431,427,429,427,434,419,434,431,428,428,432,434,415,428,427,431,435,441,426
226,0,0,443,440,447,433,437,442,432,428,424,438,442,439,429,445,444,443,450,435,443,444,444,435,439,446,441,431,438,438,434,443,448,446,439,446,436,428,427,439,439,445,440,445,441,449,441,440,437,448,436,431
227,0,0,450,450,447,451,450,456,450,444,454,452,454,450,450,444,443,452,447,449,456,453,449,452,449,456,450,454,451,452,451,451,446,457,451,445,454,455,453,453,453,452,453,451,451,450,442,454,446,456,449,452
228,0,0,454,458,446,457,454,456,458,454,459,456,458,459,453,452,455,461,456,455,456,457,461,460,456,461,456,457,451,455,458,456,455,461,459,454,452,460,456,457,447,453,454,461,456,455,459,448,451,457,460,464
229,0,0,461,456,464,462,458,461,459,463,461,456,459,456,454,464,462,458,460,459,462,458,458,452,459,460,459,462,457,461,461,460,462,459,460,461,461,459,464,459,454,459,459,460,460,460,460,461,456,460,461,460
230,0,0,463,464,466,460,462,461,460,465,464,462,465,465,459,463,464,463,465,464,465,465,460,464,462,464,465,466,460,461,462,462,460,460,462,465,462,462,465,463,461,462,463,464,465,464,459,464,462,462,462,463
231,0,0,464,465,464,464,465,463,465,466,463,464,464,463,466,461,465,464,465,466,465,465,464,465,464,464,466,464,466,461,464,465,466,464,464,465,464,463,461,465,466,465,463,462,465,465,464,465,464,465,465,465
232,0,0,465,465,463,465,466,465,465,463,465,466,465,463,464,462,466,464,466,466,464,465,466,465,465,466,466,465,465,465,464,466,464,464,466,465,464,464,465,467,466,465,466,466,463,465,465,464,465,465,466,465
233,0,0,464,465,466,463,465,465,465,465,466,466,465,465,465,465,466,465,465,465,465,465,465,466,465,466,465,464,465,466,466,465,465,466,466,465,465,465,466,465,465,466,465,464,465,465,465,466,465,464,465,465
234,0,0,465,465,466,466,465,466,466,464,466,465,466,465,466,464,466,466,466,466,465,466,466,465,465,465,466,464,466,466,465,466,466,465,464,466,466,465,465,466,465,466,465,465,466,466,464,464,466,466,463,465
235,0,0,466,465,466,466,466,465,466,466,466,466,465,466,466,466,465,466,466,465,466,466,466,465,465,466,465,465,466,466,466,466,466,466,466,466,465,465,466,465,466,465,465,466,465,465,465,465,465,465,465,466
236,0,0,235,234,234,236,236,234,233,234,234,235,234,235,235,234,236,235,234,234,235,234,234,234,235,234,233,235,236,233,235,234,233,235,233,235,234,234,234,234,235,234,235,235,235,235,235,236,235,235,234,235
237,0,0,235,236,235,235,235,235,236,235,235,236,235,235,234,236,236,236,235,235,236,234,235,235,236,236,235,236,234,236,234,235,235,235,235,235,235,235,234,237,235,236,234,236,235,235,236,235,236,235,236,235
238,0,0,236,236,236,235,235,234,235,236,235,235,235,235,236,235,236,236,235,235,235,236,235,235,236,237,236,236,235,236,236,236,235,236,236,236,235,236,236,235,235,235,237,236,236,236,236,236,236,236,235,236
239,0,0,465,466,466,465,466,465,465,466,465,465,466,466,466,466,466,466,466,465,466,465,466,465,466,466,466,465,465,466,465,465,466,465,466,466,465,466,465,465,466,465,466,466,465,466,466,465,466,465,465,466
240,0,0,466,465,466,466,466,466,466,466,465,466,465,466,466,465,466,466,465,466,466,465,466,466,466,465,465,466,465,466,466,466,465,466,466,465,465,466,466,466,465,466,465,466,465,466,465,465,466,466,466,466
241,0,0,466,466,465,466,465,466,466,466,465,466,466,466,466,466,466,465,466,466,466,465,465,466,465,466,465,466,466,466,465,465,465,466,465,466,466,466,465,466,466,466,466,466,465,465,466,465,466,465,465,465
242,0,0,237,237,237,236,236,236,236,236,237,236,236,236,237,236,237,236,236,236,237,236,237,237,236,237,236,235,236,236,236,236,237,236,236,236,237,237,237,236,236,236,236,236,236,236,237,237,237,237,237,237
