Vth_T ,6bit_Vth,VinDac,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,#11,#12,#13,#14,#15,#16,#17,#18,#19,#20,#21,#22,#23,#24,#25,#26,#27,#28,#29,#30,#31,#32,#33,#34,#35,#36,#37,#38,#39,#40,#41,#42,#43,#44,#45,#46,#47,#48,#49,#50
102,0,0,4115,0,16447,0,0,20558,4114,4112,4107,4109,12337,8220,4114,4111,8220,4111,8226,12339,16449,4111,16446,12334,12338,8220,12330,12338,12336,8232,8229,12351,12339,8227,8227,0,0,4112,16447,12330,4115,8225,4114,16439,0,4112,15661,4110,8224,8227,8226,4108
103,0,0,4113,8222,0,12330,8230,4113,8225,4115,8227,12339,8228,4112,4115,8230,8229,12329,16440,12330,4113,16455,8227,12331,0,16449,12337,12340,12337,12339,12337,4115,8227,12342,4114,12337,8232,4111,12332,12339,4113,4114,4117,4106,16450,4115,16460,4116,16445,16448,8228,16454
104,0,0,16448,4113,12331,4112,24683,8219,12338,16448,4108,12330,8228,12341,8226,4108,8222,0,12342,12342,12328,8231,4109,4113,16448,8222,4110,8227,0,8223,16437,16445,4116,0,20556,4111,4115,28776,12341,16451,16450,8232,12337,8217,8223,12342,4113,8222,8218,16448,0,4108
105,0,0,12338,8224,16452,0,12341,4115,12332,8224,16444,12330,12336,12328,8228,8222,8221,12332,8222,12335,8225,12342,0,12330,4116,0,12340,8223,12342,12335,8225,4110,37014,4114,12337,12339,4115,4110,16448,12341,12339,4114,12332,12341,8217,0,12347,8227,12335,12336,16454,4111
106,0,0,16451,12340,12326,8225,8226,12337,16452,12337,8223,0,8225,12342,8221,12328,12338,24673,12336,27095,4114,12336,16453,4108,4109,20562,24669,12342,0,16446,4108,0,8223,16451,12337,24671,0,0,20571,12329,8227,4112,0,16443,20564,0,12339,8227,8221,8219,20569,4113
107,0,0,4107,0,4111,8228,5524,8217,12338,8220,20560,8226,20557,0,9278,24665,12340,20567,4109,4114,20560,4113,12343,12331,0,24675,12334,16456,20559,4112,20562,12338,4113,8221,8352,8220,16438,12338,8225,12337,20564,8222,12341,16445,3920,12343,4115,20570,16442,4113,12344,8231
108,0,0,0,16445,20557,20558,12336,16454,2518,8223,12338,20562,8229,20567,8225,12332,4106,4108,12340,12341,16449,8229,8225,12345,37000,16447,8229,16447,28785,0,12342,8226,16450,12328,12334,28788,12336,8223,4113,12342,28788,16445,4114,12345,17951,16898,16456,12332,16443,8226,8548,12339
109,0,0,12331,32152,8232,28784,16450,24676,12341,8220,12336,12342,12335,16451,16445,16446,12336,4116,8229,12339,4115,12329,28789,12331,20563,20555,16446,12335,12341,4109,16449,20569,20566,16449,24671,12335,20561,24677,4106,8223,12338,12333,12326,20554,0,8227,8225,8223,16444,12339,8228,16444
110,0,0,16454,4113,13420,12331,0,16451,16443,8227,24676,16453,24657,8227,16450,20554,37018,12336,24672,8222,20564,12339,12338,2146,16437,8225,4114,8227,24684,16453,24672,11317,16156,24674,4115,12337,4112,13966,16442,20569,6004,24677,12337,32897,16446,12337,22996,16438,12339,16447,24677,32887
111,0,0,8218,16444,8225,20560,8222,28788,32892,16275,8221,20562,24673,32890,20558,24683,4116,12334,16438,16446,20567,20568,12334,4116,4110,12341,12329,28789,16455,8222,24681,24672,24666,8227,8229,8224,12336,8224,16442,4117,12337,28789,24668,16446,20563,16452,4115,20065,20561,16448,0,12338
112,0,0,24673,20562,12340,16445,32896,24670,12330,4113,20566,12334,12338,24146,12331,37001,24675,12341,16451,24679,28783,16452,12336,16443,8224,12338,8225,8229,20560,8224,12333,8224,41122,12335,16448,20484,28790,24688,24674,16457,28779,12340,8228,12340,32903,24677,32898,16444,4107,4109,20560,4114
113,0,0,20552,8228,8220,20567,16443,20565,8225,12338,12334,4111,16454,16457,28781,16450,8227,20570,16454,16447,24675,12330,28788,12339,4115,20563,12338,20552,21201,12340,12338,16452,28799,4115,4107,20563,16447,16441,12333,4115,28785,16450,24663,16447,4113,8224,20559,28783,24661,12331,4115,28795
114,0,0,20560,24668,8224,41110,12343,28787,20565,19574,28775,28789,32886,28782,0,16452,20565,0,20563,20552,12338,8224,20554,24660,20566,16449,37009,16452,28775,41147,8219,12332,24678,28772,12336,20570,12340,8229,8225,8223,16452,32895,49354,20565,16440,16449,0,28439,28784,28788,16444,20557
115,0,0,20550,37009,24660,16449,61708,28780,12334,20551,24682,24678,24669,41117,20554,16443,20561,37010,41116,32903,28788,16448,37015,24676,45244,20559,20555,16450,24668,24672,24681,25619,32909,20561,20559,17267,16441,12343,20572,12339,20551,20572,28797,24671,24670,16441,14882,16445,12335,16435,9203,12339
116,0,0,24688,8226,24692,12336,12344,16446,20562,12341,20558,41114,32902,32896,12340,20564,16454,24675,24669,16450,16452,24675,32889,32892,16449,20558,37012,32892,32886,24671,28790,12343,4110,8224,18091,32904,8228,12338,16451,24679,20565,32888,32902,12335,20563,20561,16453,16439,32902,24679,16445,28780
117,0,0,24676,16452,29641,16445,12335,41124,20566,41127,20561,20566,20561,24676,12335,20562,28765,16456,12342,12339,28778,16449,20561,24676,12333,12341,24676,28792,16455,16010,4111,28783,17983,20556,16442,12341,28780,16445,20563,28784,12344,12343,12338,12341,28791,12335,24678,16452,20555,24670,20552,28781
118,0,0,20558,36996,24675,12337,16448,24672,41119,12340,49340,22526,28786,12334,20568,4114,24677,48463,12338,45008,28788,28793,12339,20555,32913,4111,8225,32894,41125,41126,24670,24676,28778,32796,20562,28792,23562,49347,20547,16447,16458,20574,20555,16453,20571,37004,49327,28789,24673,4111,24666,20566
