Vth_T ,6bit_Vth,VinDac,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,#11,#12,#13,#14,#15,#16,#17,#18,#19,#20,#21,#22,#23,#24,#25,#26,#27,#28,#29,#30,#31,#32,#33,#34,#35,#36,#37,#38,#39,#40,#41,#42,#43,#44,#45,#46,#47,#48,#49,#50
162,0,0,11809,3939,19677,3937,11816,0,3929,0,15754,3940,3941,0,7878,11815,7876,7878,3935,23617,11808,19683,7873,15744,15746,3941,11813,15738,11806,7876,11813,0,11800,15752,11811,3937,19676,19687,11816,3934,7878,19689,11804,19683,17586,15755,7868,7881,3939,11812,7866,3929
163,0,0,3934,11810,11815,7877,11805,7873,19683,15746,3934,19690,11808,3929,7871,3938,3936,7875,23629,7865,23628,15750,7879,11810,11816,7876,11814,23625,19693,7873,3939,11817,0,3936,7873,15736,7876,7874,15757,15740,0,11806,7881,7873,15749,11783,7865,15759,11814,19684,3932,19678
164,0,0,15753,15745,15753,11806,11817,7875,0,11810,3938,3939,11272,7878,7876,15755,11806,27552,15757,7876,7879,19676,7878,11813,11813,23622,11817,3938,15981,15756,7877,7878,3939,11812,19688,19675,19684,19681,15748,11808,15738,3938,7873,23622,7871,3936,19681,3939,11812,19683,11821,23629
165,0,0,0,19683,7872,11813,3936,15747,15763,11819,7873,15746,15739,15739,15748,0,11817,7877,19687,7871,15743,15748,15747,3942,11819,11820,3935,19699,11814,23628,19688,11819,11804,27557,7877,11809,3939,7875,7873,11818,27549,11811,19233,3932,7865,11808,11812,27565,3939,0,11818,11803
166,0,0,11812,11817,11808,3933,7872,35419,8465,7873,7877,3932,15757,3939,15752,11816,15758,3935,15749,19672,7871,15757,15753,11807,15753,19684,7869,7880,11805,15747,15753,3932,19663,7868,23625,4393,11817,7878,15755,15745,19693,7877,11810,3937,15753,11810,11816,19682,15755,11807,19674,11803
167,0,0,3938,11807,15746,0,15757,7880,15742,0,3938,7871,23630,7871,11813,11803,15752,15739,11814,7880,7883,15755,11802,11808,19682,15751,3940,19680,15757,20514,7875,7871,7879,19691,19695,19695,7873,19686,11804,11811,7871,15761,11814,23621,11818,7868,7878,7879,11812,19689,7874,27557
168,0,0,15743,3938,3938,11818,19689,15734,7878,11811,7950,35427,7879,3941,7878,11812,19691,7873,11807,19676,11819,27561,7878,27549,23624,15823,7874,15753,15747,27557,11807,19680,11813,23613,27559,19687,15752,3936,11818,7871,7880,3938,15746,7875,11818,11807,11814,3938,15738,15746,11810,7873
169,0,0,23610,27556,7876,11816,19687,19684,19687,3938,19681,19686,11814,31485,14556,19685,23630,3933,11809,19678,3934,7876,19695,19690,23625,7874,11812,7951,3934,17951,19686,19681,11811,7985,7876,11804,27567,15745,23625,23619,19680,27551,15762,3938,11814,10376,11804,15748,11814,11811,23624,15741
170,0,0,15743,23627,19686,19691,19690,23631,31491,15735,11804,22972,27549,15749,15755,7868,19837,15753,7876,11815,7878,15752,23625,15747,23625,23613,23609,23611,15750,19689,27561,15754,15751,11803,3941,11808,15735,7877,11805,19685,11816,3940,19680,3940,27554,19692,7873,15750,19672,27579,19685,7877
171,0,0,15743,7876,23626,15745,3939,19688,19683,27555,7871,35433,15746,23626,11806,15749,11809,15755,20822,15738,23614,27569,15747,15749,19681,11818,11803,7875,15754,39367,15752,11815,23613,15742,23630,7875,11810,15749,15737,23626,11810,31496,15748,27544,15744,15744,23622,15750,31505,15749,27554,15751
172,0,0,43306,19633,3941,23628,39360,27556,15750,27554,19685,15746,27567,15734,11814,7871,15745,23629,15757,11806,15740,7880,7877,27566,7874,23621,15743,11804,15745,19690,11810,19679,27552,15758,11810,7878,39383,11808,15749,7872,7868,15742,11821,15753,23634,11810,11814,15753,19688,15742,11811,19680
173,0,0,27564,27545,15746,15743,15758,11810,15739,15748,15747,23626,15745,27552,11807,11815,19685,15743,11810,15746,35424,11802,15743,23625,11801,23626,35435,11815,23628,27551,23630,7877,11817,19667,31500,27543,27569,3931,11802,19682,19686,15755,43301,23625,3942,23627,27565,15747,15745,23481,19682,35438
174,0,0,27579,11810,27547,15738,15756,11812,3938,7864,19683,7877,15743,15887,11813,7876,3932,23633,11818,15743,15752,15745,7874,7872,27567,11814,23619,15751,19683,27572,7871,35425,11810,27560,11808,23622,19683,11817,15748,3935,25312,27559,7875,27561,19675,11809,11804,31491,23633,3941,11805,11816
175,0,0,11810,19690,19693,15751,15733,19675,19674,27557,19679,11816,23623,11818,27546,27556,15753,19694,15749,23624,19682,7881,19687,27551,15743,27565,27558,19685,27570,25637,11816,24806,27552,11801,35436,27564,22768,19685,31483,19688,7873,11810,19682,11821,15744,11803,11819,11821,35432,0,15749,23625
176,0,0,11809,11805,11815,19690,19689,23617,23633,31507,39375,23633,27548,23629,15756,15746,23622,27567,11809,31497,19687,23610,19686,19691,23616,24473,27572,23627,15754,19677,27559,27567,15749,19681,19669,23612,19687,35432,15752,11817,19690,27546,27551,19674,27561,15753,27567,23619,7868,23624,19686,35445
177,0,0,31500,31490,19680,7878,23624,15746,19685,35429,23617,27560,27554,15740,31515,19691,23620,15751,31492,23626,19689,31493,11810,27561,43302,23633,35438,27557,15756,15744,23607,15758,27559,23625,27558,31487,19695,19698,19685,19680,15752,11812,31478,31490,7880,19679,15756,35426,39372,7875,7875,15756
178,0,0,23628,31491,31499,23611,27568,19674,23620,15752,31503,39366,11813,15747,23626,23617,23624,15746,15748,19686,15748,31486,35431,11813,19685,23618,15748,19690,15746,27565,19683,19690,39361,27556,17922,35443,27552,19692,27564,23624,23634,11812,19666,19688,39365,18268,11807,20580,35438,27548,27548,7874
179,0,0,27570,19692,27576,27560,35436,31514,15754,31491,15747,23617,31483,23621,47260,3936,23625,27569,7878,39366,27557,11820,19676,27568,19680,19689,31500,15752,19683,35437,19676,27559,23624,27560,19680,14020,15749,35441,15747,23625,43312,31501,23618,4354,35436,19671,15741,19676,19691,27548,15740,35434
180,0,0,15749,39366,19680,15751,11808,11810,19683,15748,35438,19675,31491,27556,27559,23613,11809,23620,23625,55106,39365,31493,27571,23631,15746,27563,31510,23624,39379,15748,15745,35449,15738,27551,27560,31496,27544,27569,27562,43292,27563,11813,19692,11815,19673,31500,19679,3940,19690,27548,39356,11809
