Vth_T ,6bit_Vth,VinDac,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,#11,#12,#13,#14,#15,#16,#17,#18,#19,#20,#21,#22,#23,#24,#25,#26,#27,#28,#29,#30,#31,#32,#33,#34,#35,#36,#37,#38,#39,#40,#41,#42,#43,#44,#45,#46,#47,#48,#49,#50,#51,#52,#53,#54,#55,#56,#57,#58,#59,#60,#61,#62,#63,#64,#65,#66,#67,#68,#69,#70,#71,#72,#73,#74,#75,#76,#77,#78,#79,#80,#81,#82,#83,#84,#85,#86,#87,#88,#89,#90,#91,#92,#93,#94,#95,#96,#97,#98,#99,#100
307,0,0,82575,92921,82514,83048,100573,95228,66517,78556,100914,119775,106178,94907,98028,55449,133791,86763,106396,101890,115731,87529,81101,94714,127763,70822,103212,104933,80570,61846,114989,104108,112224,60709,109832,93324,118447,97672,99309,109723,94068,53902,61534,90633,83352,91501,47846,101861,89424,89767,91560,113961,71416,100135,107655,128380,90139,70830,103489,84933,73045,66432,93022,123891,77670,80305,93493,110149,88998,102900,107849,117007,89347,77188,81910,125112,99412,82311,70138,123747,111791,83720,58028,114768,96782,117148,86184,88555,93933,106041,88872,74545,88576,92767,85756,78549,78024,66310,83858,74966,68871,94192
308,0,0,160858,91381,131835,95807,89608,153256,117814,95620,144377,113478,120466,130442,112488,121108,96560,100206,117145,107000,132213,88254,86785,137958,172533,102849,164174,126940,120007,110096,89634,164480,99740,140240,135574,106927,110788,126786,132224,97303,131929,121539,96077,137440,133696,89871,125550,106021,126506,119017,115443,107588,92049,126496,130085,106615,85523,151473,92925,140064,116495,108974,102190,100440,138642,77136,123346,108264,105315,116581,122707,134283,129798,113228,104841,134371,130893,140407,155575,84663,101347,136355,139076,121296,130938,139021,120749,94975,103879,107959,106779,103133,130651,106811,112453,101525,134071,104329,114448,162241,124485,82317
309,0,0,200715,162253,158655,197239,147066,151708,174877,197005,131243,190363,186698,136531,148857,169708,176545,183793,174155,144239,137606,143192,157225,167734,181459,210359,143888,190136,153913,170366,144808,224777,179059,166100,186826,143446,126717,165003,145046,169282,145722,181662,212534,134493,175093,160970,174787,202387,143470,205095,160551,227910,149795,190963,143520,171192,138901,171917,192576,130291,198406,165367,173907,180277,216504,149246,174426,160054,122897,160225,153274,178487,149774,173889,142591,144788,171539,178719,168922,167911,186307,174205,179494,199535,181035,174196,253345,169565,185621,146893,142216,147974,147783,180051,158355,158335,171655,169236,149763,194874,137436,163572
310,0,0,192340,232430,205604,150724,214201,183295,192467,273202,243222,171312,243428,212284,178478,188898,236241,248690,249794,157954,253732,186533,208358,199157,211092,236179,212147,160543,194828,183714,202888,193916,228456,231122,188018,213213,232792,168923,250061,207106,221612,235221,182923,258010,245438,219315,210619,288265,209649,182802,228331,203508,238356,193605,205409,191247,294210,184732,238139,232903,237790,191868,245911,248457,207116,265049,216482,222983,197484,219737,198482,242271,174384,195989,240773,221935,309672,190730,219118,211534,225068,238798,267507,210222,277303,196598,175475,250968,228112,247538,224587,216410,230019,250243,211549,236833,172590,174072,188476,254481,234193,194000
311,0,0,313379,253130,300838,272591,274724,276478,285353,267084,301725,312436,261816,304721,269723,320654,251006,315848,256452,270274,344398,261730,301540,222972,273827,285092,202080,267054,245619,257673,293226,304073,269896,296766,286572,318710,261332,297188,268951,285740,292419,254936,251903,233698,282593,271736,291804,301014,255120,286438,256096,340303,262660,258818,292677,291871,296870,272667,258800,286157,291419,347326,279368,279618,303216,248095,359950,302535,256320,308734,277665,241675,264484,302714,318778,277746,316269,263877,258641,293962,361811,239219,272879,235090,265888,325867,270793,298131,243346,297022,291984,276551,277035,294820,294271,273788,257000,282823,261160,265634,273905,234920
312,0,0,344365,385600,387093,342713,310425,336373,343468,355318,371262,322618,341787,368259,331349,368445,324178,347377,335887,307530,355883,304453,358870,374290,365433,291091,322540,343266,369220,343410,345986,340307,292183,330839,341731,386193,314159,372194,380781,353656,372299,312493,324201,307112,265724,364259,321108,359778,265864,307616,367599,346994,303668,367544,375902,369414,348131,318364,370031,311915,329918,342922,350748,353963,313695,387922,355772,396989,326824,385466,330466,335531,332313,342038,319945,331065,306750,363231,355567,326383,312524,318072,363596,338450,354500,364664,361219,323442,307875,343910,318040,320710,344739,324852,296305,363596,336207,308831,326254,305820,356270,384847
313,0,0,452624,429813,438854,410975,447780,375066,414025,422202,415187,386260,436544,439006,464673,382052,407868,416045,442897,456139,378226,423545,447923,388339,467745,448888,400267,419251,405782,476517,391265,450132,417901,433995,445671,401673,421725,439503,380873,425881,405060,441481,410106,471863,378862,460384,412244,411032,474476,427280,402607,370654,386372,386935,475709,380070,401525,415840,442473,446208,458438,437078,433842,426694,403493,361259,448927,392783,425556,413199,403819,389607,414771,455835,453515,415353,392714,451027,409187,453330,427866,415459,473381,393915,493732,453781,488090,464578,386841,431901,436720,391930,431921,448814,463453,374639,416481,381721,413662,437533,432607,448551
314,0,0,500560,466107,441046,495977,498338,471525,476939,497208,506857,496464,453270,438868,497966,439898,474171,460499,460531,443911,504685,465204,518968,501196,476380,474206,516446,497681,485889,488719,521658,453592,462884,489555,460052,503693,472582,483976,515546,487845,545244,485724,464993,471712,491677,482720,514347,432530,505698,453643,528307,504968,454245,508197,488497,470412,440542,478520,527018,502949,473817,494911,470382,448938,474532,485121,435562,464831,514760,482792,469704,511104,432920,470949,496285,450389,483530,531626,483110,454811,404393,518586,457650,558995,450778,441949,524307,469065,455917,443205,474378,482549,475241,489005,527632,509431,436008,454071,492857,450804,469016,494573
315,0,0,524180,508662,521605,561055,549803,565911,519152,584726,563276,561100,565494,539931,492989,562314,526794,592226,583398,567864,547892,515452,517876,609580,554896,508948,551043,577104,580593,528581,562774,549160,550908,534500,552146,575363,549015,603972,577789,560366,516380,534307,575575,533819,568167,524759,543591,556046,511211,532755,507681,617620,507763,563439,500729,522895,559084,505713,524465,509022,591770,527030,559840,541529,553686,579541,584843,584770,564221,549247,600319,518577,518575,545261,555733,539036,570292,574191,511988,595507,562067,569179,531462,548959,535062,534338,554042,520825,567450,509126,495540,555649,519763,515703,560779,593814,528332,535551,575919,602039,554482,586133
316,0,0,622658,568174,589735,602353,610653,639932,546888,577283,622347,670115,587412,627257,639161,633895,589343,614639,607935,596962,638221,553950,626708,547850,583588,612537,652017,615486,639474,606693,589582,569886,537721,582919,613956,592981,592332,600220,603529,577536,635548,561308,619605,616675,572600,548499,600711,616680,652186,625964,605360,578525,567272,594984,580561,606286,600401,598486,535019,628422,567807,633841,594600,575837,619532,595045,618914,573282,611622,602444,650241,552883,574736,578479,564155,595741,583404,628107,597266,630463,547377,526053,572539,581492,564241,555287,590354,571463,612296,566553,617295,602027,593030,609067,579231,623731,634724,595696,590360,578586,656425,633363
