Vth_T ,6bit_Vth,VinDac,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,#11,#12,#13,#14,#15,#16,#17,#18,#19,#20,#21,#22,#23,#24,#25,#26,#27,#28,#29,#30,#31,#32,#33,#34,#35,#36,#37,#38,#39,#40,#41,#42,#43,#44,#45,#46,#47,#48,#49,#50,#51,#52,#53,#54,#55,#56,#57,#58,#59,#60,#61,#62,#63,#64,#65,#66,#67,#68,#69,#70,#71,#72,#73,#74,#75,#76,#77,#78,#79,#80,#81,#82,#83,#84,#85,#86,#87,#88,#89,#90,#91,#92,#93,#94,#95,#96,#97,#98,#99,#100
382,0,0,967199,968451,969425,967363,963509,963457,969012,967076,968247,966356,966965,972840,966739,967444,965864,966807,967217,967148,969395,966212,967736,969372,970606,966280,967063,968976,967353,965749,968769,966799,971922,967756,964634,967134,965944,965893,966902,966469,967732,969367,967377,966845,963262,966287,966809,969078,968278,969003,968251,965832,969088,968234,967485,965610,965631,966116,968146,968043,964456,965680,968320,966926,966980,967850,971613,968555,968696,966973,969866,965410,967511,964443,968269,964869,968965,966174,968769,965697,965432,968433,964475,967853,968540,968397,968857,965372,965640,966285,967676,966539,971790,967352,966848,966894,964988,969486,966970,966433,969995,969580
383,0,0,969650,966204,965906,965095,967765,969138,967786,969329,972435,972191,969201,971188,969453,968701,968116,969981,968093,968657,968500,967988,968572,967043,970057,966380,968919,969103,971347,969625,968299,971074,969426,971212,969887,968990,967771,968754,969646,970792,968893,973312,969005,970707,970564,968417,969812,968262,967821,967941,968085,968806,969311,968803,972336,966222,968945,967882,969882,966641,968012,967362,969715,968947,970862,971104,966316,970429,967472,969463,966820,968006,970331,967268,971984,971476,969741,969744,971500,966912,969308,971554,970103,965935,967535,971267,967456,968911,969945,969873,967974,968514,968448,971624,970313,969217,970786,972386,966783,969904,971173,970694
384,0,0,981755,981882,978751,979141,980517,981419,982204,981858,984704,984171,982672,983557,983517,983603,981258,981620,981695,982896,983408,980224,981563,982287,984896,984777,983894,981091,981705,983627,982142,981713,985393,982612,984662,983599,982345,983941,983070,985289,983474,984452,983190,986300,984352,984672,984138,980946,985001,983838,985948,982909,983015,982703,982977,981872,982485,982301,983331,981838,981144,983404,982713,984422,983813,984736,982569,983675,982583,981576,983575,982320,983272,981767,983657,984962,980763,980540,982548,982767,982354,982436,980865,979485,980579,983175,981342,978634,976667,979049,979203,983371,980344,982469,983743,978254,982930,982980,983519,981258,983366,979909
385,0,0,973308,975069,974771,974876,975761,973216,975801,977295,973178,976852,974961,971352,973622,973664,974270,974639,976489,974493,976728,972898,975707,977125,975298,975742,973289,977498,974190,972735,972758,973689,973016,976114,970496,975920,975029,974079,975365,976126,973289,975229,977239,972965,973361,971294,973544,972848,975800,973271,971309,973893,977091,973662,973631,977256,973428,974811,973702,976422,977543,974505,976467,972191,974897,974825,974991,974446,975921,975495,975810,973218,976316,973845,978311,974800,975021,975182,970901,971399,972790,977485,971641,972597,974615,972625,972510,973981,972640,975332,974567,975564,974386,974318,976188,970851,975296,973278,974521,972769,975507,974648
386,0,0,979246,976701,977573,977151,978454,977322,976288,977225,977020,980638,976142,977691,976234,977069,975392,978716,974086,976449,977810,976543,975277,975177,977151,977399,976600,976474,981433,974899,977857,979103,975375,977482,978207,979651,973581,978313,974648,979031,980196,976830,981719,976608,977594,975418,977058,975398,977432,978847,975995,979248,976094,977733,977347,978381,978477,976226,975935,977204,977846,978196,978558,975703,977391,980558,978169,974923,974675,976882,975820,979894,979642,979358,977211,977338,976939,976636,976985,978621,979581,976079,979347,979752,979387,977641,977626,979167,980625,978165,976809,975580,977443,977020,979528,978838,977819,980675,977418,979727,979956,978023
387,0,0,981249,979350,978215,979487,977419,982259,977714,980768,981779,980044,979722,979673,982256,980583,980021,980913,981168,977891,980926,979601,980825,979102,979486,980434,980400,979256,983424,981294,981231,979804,982576,981673,979641,980461,981809,979596,982151,979917,981936,980824,981319,979170,978688,979530,983790,983073,980820,981651,979261,981730,981490,983327,980908,980262,981297,980858,982490,984174,982199,980757,983579,982394,982839,981218,981658,981040,983303,980895,981140,984135,979606,983847,981361,982556,979339,980477,981416,981463,981022,977670,981691,982853,981823,981918,982413,982095,980983,981238,981487,980583,979544,981398,980507,979506,977923,980100,981030,981740,981727,979764
388,0,0,986995,982747,981888,982292,981482,983591,982955,983090,983538,983042,983363,984168,982517,984023,984029,984571,984063,984492,984485,985270,982857,983803,984702,982770,982645,985625,982828,983294,983868,985561,982133,983588,985042,984467,984738,983539,985011,985380,985261,981845,983642,981861,984815,984740,986251,984428,984458,981866,983495,981557,982654,982876,982670,982650,984701,983423,983472,984195,983667,983006,984424,981751,982810,983189,981801,983799,984220,982202,984740,983760,983205,983719,984174,984368,983909,985933,983816,981107,984231,982229,982269,984019,983080,985359,983433,985402,984490,985659,983700,984637,983784,981771,983688,984899,984939,983574,984821,984211,983081,984278
389,0,0,992471,990366,992257,990521,991560,991408,990615,991458,990390,991218,990375,989333,991421,990908,988852,991567,990134,991834,991261,989833,991162,991599,991013,991391,991170,991052,989880,991264,992642,991702,992504,991527,993293,992056,991950,992318,991550,992057,991623,992022,991625,992363,991008,991482,990636,991103,991309,992461,992364,991416,992223,991319,991455,991130,991951,992159,990209,990912,990983,991467,990916,991999,992081,989551,991460,991336,990712,990612,991354,992031,990469,990311,992654,991673,991633,991665,992142,991119,990982,991566,990387,990670,990930,989721,991278,990060,991180,991807,990612,991998,992292,991801,992285,991443,991064,992229,991137,992419,991974,991872
390,0,0,993796,993192,993872,992784,992739,993426,992913,992851,993074,992244,992658,992204,993247,992112,991769,992906,993033,993350,992794,992244,993175,992456,991982,993540,993074,993600,992756,993719,992618,993796,993025,993259,993221,992728,992618,993034,992797,991608,993088,993101,992455,993572,993594,994258,992573,993094,993748,992039,992894,993645,992037,992801,993609,991924,993439,993631,992481,992927,991872,992593,992858,992303,993052,993261,990810,992446,992332,993281,993641,993431,992503,993177,993416,993394,992775,993835,993204,993806,993833,993844,993541,992661,992520,992868,992137,992926,993704,991805,993533,993625,993311,992641,992552,994278,993742,994029,992730,992491,993826,993842
391,0,0,992630,992647,992430,993140,992669,992920,992072,991569,990530,992021,992441,992200,992081,992649,991633,991897,991238,992385,991533,992362,992089,992395,992780,992132,992440,992499,992098,992983,992455,991368,992559,991631,992282,992462,992019,991692,992727,992703,992262,992432,992914,992209,992761,992621,993183,992196,991783,991930,992041,991850,990701,991431,992417,991811,992169,991180,991399,991969,990791,992515,992118,991925,991213,992452,991445,992096,991261,992472,992508,991792,991481,992871,992317,991437,993170,992857,993654,992042,992093,992023,991338,992363,992211,993068,992790,992040,992058,991347,991376,991935,992020,991063,992206,992245,992549,992246,993267,991954,992290,993011
392,0,0,995470,995326,995467,995684,994876,994572,994840,994865,994042,995095,995148,995068,994790,994767,994428,995177,994528,994944,995608,995149,995727,995620,995634,995463,995347,994316,995050,995707,994935,995307,994881,995235,994669,994648,995229,994520,994799,995142,995315,995814,995776,995457,995563,995497,995515,995159,995320,995123,995537,995204,995046,994936,995551,995179,995363,995199,995343,995243,994873,995034,994789,995172,994750,995588,994728,995471,994961,995388,995500,995116,994935,995100,995588,995371,994884,994205,995418,994872,995713,995224,995316,995666,994089,995200,994946,995416,995108,995410,994944,994991,995363,995575,994663,995170,994974,995621,995136,995457,995451,995288
393,0,0,996061,996385,995916,995826,996077,995470,996095,996007,995777,996140,995945,995374,995924,996072,995982,995893,995940,995796,995887,996180,996061,995954,996052,996460,996258,995627,996014,996256,995864,996271,996031,996337,996438,996135,996366,996289,996027,996201,996056,995849,996485,996384,995986,996088,996109,996402,996196,996314,995974,996148,996310,996151,995544,995948,995418,995632,995674,995802,995708,996014,995909,996011,995562,995739,995931,996085,996080,996046,996082,995920,996166,995858,995834,996194,996044,996130,996175,996278,996244,996369,996228,995917,996067,995669,996176,995992,995900,995650,995651,995903,996195,996040,996187,996217,996055,996464,995722,996226,996324,996111
394,0,0,996082,995459,995956,995285,994973,995454,995034,995514,995703,995525,995989,995527,995349,995642,995416,995455,995780,995173,995460,995383,995603,995793,995617,995353,995444,995150,995643,995818,995798,995247,995465,995574,995589,995418,995568,996066,995873,995970,995463,995329,995433,995374,995431,996246,995533,995362,994902,995701,995035,995400,995600,996270,995651,995548,995585,995213,995803,995277,995744,995699,995687,995551,995686,995392,995520,995390,995607,995572,995698,995897,996118,996003,995593,995786,995470,995765,995517,995627,995812,995923,995726,995386,995520,995199,995522,995463,995597,995283,995506,996072,995637,995535,995524,995449,995831,996052,995738,995658,995520,995788
395,0,0,996409,996283,996534,996576,996127,996140,996238,996517,996090,996587,996143,996457,996232,996221,996173,996219,996174,996109,996256,996473,996282,996557,996221,996544,996413,996719,996113,996425,996477,996357,996485,996344,996381,996276,996232,996187,996233,996515,996236,996480,996621,996301,996331,996338,996392,996119,996026,996369,996251,996139,996281,996486,996585,996654,996528,996368,996137,996188,996366,996109,996197,996402,996535,996379,996091,996339,996085,996512,995970,996803,996383,996481,996614,996387,995976,996596,996399,996523,996740,996217,996498,996415,996277,996503,996323,996265,996822,996070,996347,996023,996702,996151,996354,996697,996540,996534,996229,996638,996522,996372
396,0,0,997211,996891,996951,996828,996882,997096,996828,996839,996844,996983,997045,996858,996730,996708,996695,996538,996796,996986,996604,996945,996993,996537,996999,996832,997009,996787,996886,996707,996883,996860,996724,996884,996768,996879,996815,996749,996695,996607,996988,996827,996657,997011,997008,996527,996805,996622,996781,997014,997003,996808,997235,996889,996816,996894,996823,996928,996736,996911,996848,997040,996989,997009,996556,996797,996998,996948,997047,996537,996876,996589,996902,996876,996927,996786,996834,997068,997016,996857,996841,997164,996850,996762,996776,996870,996872,996893,996772,997153,996818,996721,996945,997028,997195,996785,996958,996817,996950,996924,996644,996584
397,0,0,997664,997645,997648,997779,997749,997741,997537,997662,997498,997820,997733,997705,997860,997890,997818,997628,997547,997680,997582,997618,997668,997678,997412,997644,997627,997760,997694,997519,997545,997712,997599,997830,997699,997633,997485,997832,997634,997480,997676,997655,997589,997700,997734,997572,997726,997711,997516,997762,997775,997624,997636,997742,997725,997661,997762,997624,997608,997603,997640,997642,997704,997803,997769,997690,997927,997654,997539,997815,997513,997718,997751,997802,997668,997776,997824,997736,997864,997818,997880,997744,997716,997856,997921,997543,997664,997589,997544,997676,997590,997506,997790,997495,997581,997648,997862,997754,997672,997618,997753,997691
398,0,0,997919,997699,997700,997737,997579,997437,997603,997729,997614,997656,997671,997790,997929,997482,997642,997671,997729,997831,997507,997641,997619,997496,997499,997591,997777,997708,997504,997603,997696,997853,997600,997418,997600,997287,997625,997828,997822,997734,997729,997525,997671,997639,997768,997647,997683,997885,997869,997826,997797,997671,997791,997656,997588,997604,997715,997534,997712,997781,997721,997710,997748,997501,997629,997519,997788,997871,997596,997502,997745,997474,997624,997648,997656,997715,997836,997645,997477,997665,997589,997640,997823,997834,997652,997717,997622,997714,997721,997630,997660,997597,997492,997593,997653,997497,997472,997636,997672,997898,997570,997659
399,0,0,998139,998181,998044,998120,998184,998142,998189,998052,998076,998158,998099,998007,998153,997969,998096,998066,998164,998128,998058,998042,998082,998120,998212,998014,998147,998153,998150,998127,998104,998174,998105,998012,998101,998199,997958,998238,998159,998050,998175,998067,998224,998158,998113,998111,998055,998075,998095,997972,997972,998201,998067,998118,998142,998095,998211,998211,998112,998100,998150,998210,998218,998105,998143,998003,998120,998151,998137,998071,997978,998155,998062,998168,998136,998188,998061,998057,998070,998095,998146,998152,998048,998098,998026,998078,998088,998109,998056,997925,998060,998060,998008,998159,998079,998061,998124,998087,998154,997954,998220,998167
400,0,0,998053,998140,998182,998111,998034,998015,998053,998169,998169,998028,998014,998167,998136,998008,998172,998021,998102,998132,998078,997991,998068,998065,998151,998140,998114,998245,998096,998162,998284,998137,998190,998128,998137,998159,998100,998136,998090,998161,998185,998076,998102,998165,998167,998151,998109,998061,998100,998113,998132,998183,998231,998244,998140,998101,998189,998082,998040,998129,997979,998070,998049,997951,998174,998041,998014,998156,998140,998070,998102,998127,998053,998142,998116,998072,998089,998166,997962,998178,998091,998091,998017,998119,998156,998069,998079,997952,998122,998072,998094,998027,998062,998076,998108,998266,998108,998116,998050,998074,998067,998144
401,0,0,998203,998150,998149,998115,998150,998178,998212,998122,998227,998154,998184,998122,998144,998025,998140,998107,998061,998177,998090,998137,998111,998089,998117,998089,998180,998193,998039,998050,998140,998177,998225,998167,998027,997996,997973,998049,998189,998041,998044,998145,998091,998065,998219,998255,998191,998012,998097,998051,998035,998213,998209,998184,998071,998155,998062,998076,998140,998262,998061,998061,998092,998200,998120,998061,998135,998090,998193,998055,998099,998110,998136,998051,998199,998154,998206,998108,998137,998101,998246,998076,998100,998040,998173,998034,998181,998143,998124,998196,998190,998178,998027,998184,998134,998047,998106,998099,998029,998078,998131,998128
402,0,0,998298,998206,998282,998296,998314,998264,998297,998300,998270,998270,998279,998271,998308,998299,998251,998295,998293,998264,998250,998245,998254,998222,998352,998235,998337,998331,998162,998315,998285,998251,998265,998235,998257,998319,998286,998246,998307,998233,998297,998259,998289,998306,998219,998263,998290,998291,998249,998317,998233,998226,998297,998303,998264,998321,998282,998247,998266,998244,998306,998246,998290,998261,998244,998298,998311,998256,998292,998279,998326,998278,998319,998337,998254,998322,998311,998279,998144,998332,998278,998288,998270,998287,998230,998313,998229,998261,998281,998329,998327,998259,998313,998197,998206,998295,998221,998298,998199,998309,998256,998303
403,0,0,998425,998487,998464,998468,998465,998475,998471,998454,998424,998384,998398,998448,998483,998481,998445,998458,998465,998471,998412,998388,998462,998451,998452,998407,998420,998452,998484,998398,998453,998377,998458,998477,998469,998474,998416,998454,998425,998360,998460,998404,998465,998437,998471,998393,998446,998464,998424,998496,998470,998433,998443,998415,998423,998441,998424,998453,998443,998464,998424,998464,998472,998462,998488,998460,998432,998454,998454,998440,998437,998424,998463,998451,998442,998442,998413,998403,998491,998451,998468,998460,998396,998459,998433,998463,998430,998363,998450,998426,998482,998409,998422,998426,998361,998434,998446,998471,998418,998421,998438,998403
404,0,0,998475,998382,998452,998447,998468,998374,998464,998474,998467,998457,998426,998442,998399,998402,998456,998480,998475,998443,998430,998383,998430,998419,998449,998446,998481,998373,998423,998490,998463,998351,998502,998456,998419,998483,998450,998491,998459,998472,998482,998429,998481,998457,998479,998370,998471,998480,998475,998464,998439,998463,998474,998368,998388,998455,998501,998410,998424,998438,998395,998451,998465,998459,998498,998478,998499,998488,998495,998463,998446,998442,998469,998473,998460,998462,998510,998492,998470,998482,998493,998429,998403,998465,998419,998399,998452,998504,998452,998435,998482,998499,998456,998487,998489,998391,998459,998355,998494,998426,998450,998452
405,0,0,998462,998481,998520,998428,998507,998472,998485,998482,998504,998485,998515,998466,998523,998498,998462,998464,998449,998491,998513,998482,998497,998508,998511,998489,998484,998434,998498,998461,998462,998451,998503,998503,998448,998485,998514,998497,998508,998511,998513,998472,998484,998495,998491,998509,998486,998501,998490,998519,998450,998495,998484,998474,998435,998467,998472,998468,998506,998481,998449,998493,998517,998471,998493,998506,998507,998507,998523,998498,998473,998502,998501,998512,998511,998472,998518,998492,998495,998506,998488,998489,998465,998456,998505,998488,998490,998514,998511,998472,998487,998512,998485,998482,998500,998482,998496,998465,998460,998464,998498,998493
406,0,0,998525,998528,998532,998531,998502,998539,998520,998478,998516,998507,998548,998530,998513,998514,998504,998524,998535,998490,998532,998533,998527,998533,998530,998522,998517,998507,998508,998523,998497,998523,998492,998523,998534,998536,998528,998519,998530,998539,998485,998527,998530,998532,998527,998542,998524,998532,998535,998527,998533,998541,998496,998541,998530,998536,998522,998534,998548,998524,998536,998549,998524,998506,998503,998504,998522,998545,998537,998510,998543,998538,998525,998542,998516,998541,998528,998511,998533,998528,998480,998527,998539,998552,998531,998525,998530,998498,998508,998528,998500,998531,998528,998509,998534,998540,998499,998536,998523,998522,998508,998529
407,0,0,998527,998548,998533,998551,998535,998549,998538,998540,998534,998546,998517,998520,998546,998516,998517,998528,998528,998502,998522,998542,998534,998513,998535,998549,998521,998534,998514,998535,998542,998534,998537,998528,998520,998548,998539,998527,998541,998524,998498,998525,998527,998541,998544,998527,998519,998525,998526,998507,998516,998524,998522,998518,998540,998541,998538,998542,998557,998540,998555,998525,998539,998541,998532,998545,998534,998526,998531,998542,998545,998532,998533,998534,998538,998542,998548,998537,998550,998539,998546,998531,998487,998525,998544,998547,998535,998534,998537,998530,998539,998518,998519,998528,998511,998537,998547,998527,998540,998515,998507,998543
408,0,0,998540,998523,998541,998552,998548,998558,998534,998512,998530,998545,998540,998545,998538,998558,998537,998524,998540,998542,998538,998505,998545,998550,998547,998549,998538,998547,998538,998545,998549,998540,998547,998548,998552,998544,998546,998550,998553,998550,998540,998504,998542,998544,998538,998524,998548,998553,998546,998522,998548,998547,998555,998548,998564,998542,998549,998544,998543,998543,998547,998542,998542,998522,998544,998556,998555,998497,998527,998542,998510,998545,998554,998532,998523,998537,998544,998554,998539,998553,998523,998537,998535,998539,998542,998521,998536,998543,998544,998529,998545,998549,998540,998545,998526,998530,998554,998541,998553,998550,998542,998549
409,0,0,998555,998549,998560,998560,998551,998554,998524,998552,998550,998561,998554,998559,998547,998561,998551,998553,998545,998550,998547,998547,998550,998549,998531,998534,998555,998533,998550,998556,998550,998554,998547,998543,998550,998535,998536,998553,998555,998548,998548,998544,998560,998547,998557,998561,998548,998552,998534,998543,998551,998549,998552,998547,998551,998561,998526,998542,998553,998553,998549,998551,998557,998538,998552,998510,998556,998560,998551,998553,998553,998553,998550,998545,998535,998561,998551,998544,998536,998555,998563,998559,998547,998562,998563,998550,998550,998548,998530,998531,998547,998542,998554,998555,998550,998548,998527,998546,998554,998558,998556,998546
410,0,0,998407,998399,998397,998398,998395,998394,998396,998409,998409,998397,998383,998394,998399,998398,998398,998396,998407,998409,998391,998404,998399,998395,998399,998398,998384,998390,998395,998397,998387,998399,998410,998386,998397,998397,998398,998396,998402,998397,998399,998407,998409,998398,998396,998409,998399,998406,998409,998407,998398,998399,998392,998400,998400,998395,998398,998406,998385,998395,998405,998398,998399,998406,998408,998398,998399,998407,998394,998395,998394,998406,998385,998409,998396,998394,998398,998408,998400,998400,998399,998408,998404,998409,998392,998397,998409,998403,998405,998397,998395,998395,998410,998396,998373,998407,998398,998406,998399,998396,998398,998397
411,0,0,998397,998408,998408,998397,998409,998409,998410,998399,998407,998398,998398,998399,998398,998397,998400,998399,998397,998409,998409,998400,998397,998400,998399,998399,998396,998396,998410,998396,998409,998396,998409,998399,998399,998398,998398,998409,998400,998399,998409,998397,998398,998397,998408,998409,998399,998408,998409,998408,998400,998408,998410,998399,998400,998393,998399,998399,998409,998408,998409,998409,998395,998398,998400,998400,998407,998400,998409,998400,998406,998409,998407,998400,998407,998400,998400,998399,998398,998410,998399,998398,998399,998406,998407,998408,998409,998407,998408,998399,998409,998410,998408,998408,998409,998399,998397,998410,998399,998409,998400,998409
412,0,0,998558,998559,998557,998567,998556,998558,998567,998566,998556,998554,998558,998567,998553,998567,998568,998558,998557,998557,998568,998558,998554,998563,998557,998558,998568,998558,998568,998555,998560,998555,998565,998564,998566,998565,998567,998558,998565,998557,998556,998566,998556,998560,998559,998557,998567,998555,998565,998558,998556,998558,998556,998565,998557,998558,998565,998554,998556,998566,998554,998566,998559,998556,998563,998560,998567,998558,998566,998568,998566,998551,998559,998564,998565,998557,998559,998557,998559,998558,998567,998560,998568,998567,998558,998558,998557,998557,998567,998567,998567,998558,998556,998559,998553,998556,998559,998567,998558,998557,998553,998557
413,0,0,998568,998560,998566,998558,998566,998568,998564,998559,998568,998569,998568,998565,998568,998560,998558,998559,998559,998560,998567,998564,998559,998566,998568,998557,998555,998569,998558,998558,998568,998559,998567,998559,998568,998559,998568,998556,998557,998567,998564,998556,998566,998567,998558,998558,998556,998558,998557,998559,998567,998567,998558,998556,998559,998569,998553,998558,998559,998569,998567,998554,998558,998557,998558,998568,998566,998556,998559,998568,998559,998569,998555,998553,998568,998565,998558,998567,998559,998565,998568,998558,998567,998555,998568,998558,998564,998560,998559,998568,998567,998560,998564,998559,998560,998567,998558,998567,998567,998559,998558,998567
414,0,0,998400,998409,998400,998399,998400,998398,998400,998400,998400,998409,998400,998410,998400,998400,998408,998399,998410,998410,998409,998400,998400,998410,998400,998399,998410,998400,998410,998400,998409,998400,998399,998400,998400,998400,998400,998410,998400,998400,998410,998400,998400,998399,998398,998410,998400,998400,998400,998400,998400,998400,998400,998400,998410,998400,998400,998410,998410,998409,998410,998400,998410,998410,998400,998400,998399,998400,998400,998410,998409,998399,998410,998410,998400,998399,998400,998400,998410,998400,998410,998400,998400,998410,998400,998410,998400,998400,998400,998410,998400,998400,998400,998399,998400,998410,998400,998400,998400,998399,998398,998410
415,0,0,998568,998560,998569,998569,998569,998567,998569,998560,998558,998569,998559,998560,998560,998560,998560,998560,998568,998558,998568,998569,998559,998568,998558,998560,998569,998568,998560,998559,998559,998559,998568,998569,998559,998568,998560,998559,998560,998560,998560,998560,998568,998560,998569,998569,998555,998568,998560,998560,998560,998558,998559,998559,998560,998558,998569,998569,998567,998560,998569,998560,998568,998560,998560,998559,998568,998558,998568,998560,998568,998569,998568,998568,998560,998559,998569,998559,998559,998568,998559,998569,998560,998559,998568,998569,998568,998568,998560,998559,998560,998559,998569,998560,998567,998560,998559,998559,998559,998560,998568,998560
416,0,0,998400,998400,998410,998410,998400,998410,998410,998410,998400,998399,998410,998400,998400,998410,998410,998410,998400,998400,998410,998410,998410,998410,998410,998400,998410,998410,998400,998410,998410,998410,998400,998400,998400,998410,998400,998400,998400,998400,998400,998410,998400,998410,998400,998410,998410,998400,998400,998410,998410,998410,998400,998400,998400,998410,998400,998400,998400,998400,998400,998400,998400,998410,998400,998410,998400,998410,998400,998400,998400,998410,998410,998400,998400,998400,998410,998400,998400,998400,998400,998410,998400,998400,998400,998410,998400,998400,998400,998400,998400,998410,998410,998400,998400,998400,998400,998410,998410,998400,998400,998400
417,0,0,998400,998400,998400,998400,998410,998400,998400,998410,998400,998400,998400,998410,998410,998400,998400,998410,998400,998400,998400,998410,998400,998400,998400,998400,998400,998400,998400,998400,998410,998410,998400,998400,998400,998400,998400,998400,998410,998400,998400,998400,998410,998410,998410,998410,998400,998410,998400,998400,998400,998400,998410,998410,998400,998400,998400,998400,998410,998400,998410,998410,998400,998410,998400,998400,998400,998410,998400,998400,998400,998400,998400,998400,998410,998399,998410,998400,998410,998400,998410,998410,998400,998400,998410,998400,998410,998410,998400,998410,998400,998399,998400,998410,998410,998400,998400,998400,998400,998400,998410,998400
418,0,0,998569,998560,998560,998560,998568,998569,998569,998569,998569,998569,998560,998560,998560,998560,998560,998560,998569,998560,998569,998560,998560,998560,998560,998569,998560,998568,998569,998560,998569,998569,998560,998560,998569,998560,998560,998560,998569,998560,998569,998560,998560,998560,998569,998560,998560,998569,998569,998560,998560,998569,998569,998569,998560,998560,998569,998569,998569,998569,998560,998560,998569,998560,998569,998569,998569,998560,998560,998560,998560,998569,998569,998560,998569,998569,998560,998569,998569,998560,998560,998560,998560,998560,998569,998560,998560,998560,998560,998560,998569,998569,998560,998560,998569,998569,998569,998560,998560,998560,998560,998560
419,0,0,998400,998410,998410,998400,998400,998400,998410,998400,998410,998410,998410,998400,998400,998410,998400,998410,998400,998400,998400,998400,998410,998400,998400,998410,998400,998400,998400,998410,998400,998400,998400,998400,998410,998400,998400,998410,998410,998400,998400,998400,998410,998400,998400,998400,998410,998400,998400,998400,998400,998400,998400,998400,998400,998400,998400,998400,998400,998400,998400,998410,998400,998410,998400,998410,998400,998400,998400,998400,998400,998400,998400,998400,998400,998410,998400,998400,998400,998400,998400,998400,998400,998400,998400,998400,998400,998410,998410,998410,998410,998400,998400,998400,998400,998400,998410,998400,998410,998410,998400,998410
420,0,0,998400,998410,998410,998400,998400,998400,998400,998410,998400,998400,998410,998400,998410,998410,998400,998410,998400,998410,998400,998410,998410,998410,998400,998400,998400,998400,998400,998410,998410,998400,998400,998410,998410,998400,998410,998400,998410,998400,998400,998400,998400,998400,998400,998400,998400,998400,998410,998410,998410,998410,998400,998400,998400,998410,998400,998410,998410,998400,998410,998410,998410,998410,998400,998400,998400,998400,998410,998410,998400,998400,998400,998400,998410,998400,998410,998400,998400,998400,998400,998400,998410,998410,998400,998410,998410,998400,998400,998400,998410,998400,998400,998410,998410,998400,998410,998400,998400,998410,998400,998400
421,0,0,998560,998560,998560,998569,998569,998560,998560,998560,998569,998569,998569,998560,998560,998560,998569,998560,998560,998569,998560,998569,998569,998560,998560,998569,998560,998569,998569,998569,998569,998560,998569,998560,998569,998569,998569,998560,998569,998569,998560,998569,998560,998569,998560,998560,998569,998569,998569,998560,998560,998560,998560,998569,998569,998560,998560,998560,998569,998560,998560,998560,998569,998560,998569,998569,998569,998560,998569,998560,998560,998560,998560,998569,998569,998560,998560,998560,998569,998569,998569,998560,998560,998560,998560,998560,998569,998569,998569,998560,998560,998560,998560,998560,998560,998560,998560,998569,998560,998560,998560,998560
422,0,0,998560,998560,998560,998569,998560,998560,998569,998569,998569,998569,998569,998560,998560,998560,998560,998560,998569,998569,998569,998560,998560,998569,998569,998569,998569,998560,998560,998569,998569,998560,998560,998560,998560,998560,998560,998569,998560,998569,998569,998560,998560,998569,998560,998560,998569,998560,998569,998560,998560,998569,998569,998560,998569,998569,998560,998560,998569,998560,998569,998560,998560,998569,998569,998560,998569,998560,998569,998569,998560,998560,998569,998560,998569,998569,998560,998569,998560,998569,998569,998569,998560,998560,998569,998569,998560,998569,998560,998560,998569,998569,998560,998569,998560,998569,998569,998560,998560,998560,998569,998569
423,0,0,998410,998400,998410,998410,998400,998400,998400,998400,998400,998410,998400,998400,998410,998400,998400,998400,998400,998400,998400,998400,998400,998400,998400,998400,998400,998410,998400,998400,998400,998400,998400,998400,998400,998400,998410,998400,998400,998410,998400,998400,998400,998400,998400,998400,998410,998410,998400,998400,998410,998410,998410,998400,998410,998400,998400,998400,998410,998400,998410,998400,998400,998400,998410,998400,998400,998400,998410,998410,998400,998400,998410,998400,998400,998410,998410,998400,998400,998410,998400,998410,998400,998400,998400,998400,998400,998410,998400,998400,998400,998400,998410,998400,998400,998400,998400,998400,998410,998400,998400,998410
424,0,0,998560,998560,998569,998569,998560,998569,998560,998560,998569,998560,998569,998560,998560,998560,998560,998560,998560,998569,998569,998569,998569,998560,998560,998569,998560,998560,998560,998560,998560,998560,998569,998560,998569,998560,998569,998560,998560,998560,998560,998569,998560,998569,998569,998560,998560,998569,998560,998560,998560,998560,998569,998560,998569,998560,998569,998560,998560,998560,998560,998560,998560,998569,998560,998569,998569,998560,998560,998569,998569,998569,998568,998560,998569,998560,998560,998560,998560,998569,998569,998569,998569,998560,998560,998569,998560,998569,998569,998560,998569,998569,998560,998560,998569,998560,998560,998560,998560,998569,998560,998560
425,0,0,998560,998560,998560,998560,998569,998560,998560,998569,998569,998569,998560,998569,998560,998560,998560,998560,998569,998560,998569,998560,998560,998560,998560,998560,998560,998560,998569,998560,998560,998560,998560,998569,998560,998560,998560,998569,998569,998560,998569,998569,998560,998560,998560,998569,998560,998560,998560,998560,998560,998560,998569,998569,998560,998569,998560,998560,998569,998560,998569,998560,998560,998560,998560,998560,998569,998569,998560,998569,998560,998560,998560,998569,998560,998569,998569,998560,998560,998569,998560,998560,998569,998560,998569,998569,998569,998560,998560,998560,998569,998569,998560,998560,998569,998569,998560,998560,998569,998569,998560,998569
